doi,author,title,subtitle,year,abstract,journal
10.1075/lv.20009.iri,"Monica Alexandrina Irimia, Anna Pineda",Differential object marking in Catalan,Descriptive and theoretical aspects,2021,"
In this paper we provide a comprehensive picture of differential object marking in Catalan, focusing on both the empirical
					facts and their theoretical contribution. We support some important conclusions. First, Catalan differential object marking is quite a
					robust and widespread phenomenon, contrary to what prescriptive grammars assume. Second, we show that, from a formal perspective, Catalan
					differential object marking cannot be completely subsumed under hierarchical generalizations known as scales. The
					contribution of narrow syntax mechanisms and nominal structure is fundamental, supporting recent views by López (2012) or Ormazabal and Romero (2007, 2010, 2013a, b), a.o. Building
					on these works as well as on observations initially made by Cornilescu (2000) and Rodríguez-Mondoñedo (2007), a.o., we adopt an analysis under which canonical, animacy-based
					differential marking results from the presence of an additional (PERSON) feature, beyond Case. This structural make-up is not only at the
					core of differences marked objects exhibit from unmarked objects with a Case feature, but also derives the prominence of differential
					marking on (animates) under information-structure processes, in the high left (and right) periphery, in contexts of the type discussed by
					Escandell-Vidal (2007a, b, 2009).
",LINGUISTIC VARIATION
10.1075/lv.19007.cal,Elena Callegari,The relative order of foci and polarity complementizers,A Slavic perspective,2021,"
According to Rizzi & Bocci’s (2017) suggested hierarchy of the left periphery, fronted foci (FOC) can never precede polarity complementizers (PolC); yet languages like Bulgarian and Macedonian appear to display precisely such an ordering configuration. On the basis of a cross-linguistic comparison of ten Slavic languages, I argue that in the Slavic subgroup the possibility of having a focus precede PolC is dependent on the morphological properties of the complementizer itself: in languages where the order FOC < PolC is acceptable, PolC is a complex morpheme derived through the incorporation of a lower functional head with a higher one. The order FOC < PolC is then derived by giving overt spell-out to the intermediate copy of PolC rather than to the topmost one. In turn, this option is linked to the possibility, recorded in all languages which allow for FOC < PolC, to also realize the morpheme expressing interrogative polarity as an enclitic particle attaching to fronted foci.
",LINGUISTIC VARIATION
10.1075/lv.20002.toq,Luis Miguel Toquero-Pérez,Revisiting extraction and subextraction patterns from arguments, ,2021,"
Extraction and subextraction tend to receive separate attention in syntax, which leads to the assumption that they
					should be analyzed independently, even though they both illustrate an asymmetry between subjects and objects. By looking at
					various phenomena in English, German, Spanish and Norwegian I propose that this parallel behavior is not accidental, but that
					there is a previously unnoticed generalization: subextraction is allowed iff extraction is possible and the target of
					subextraction is not an indirect object. I propose that a revised version of Spec-to-Spec antilocality (Erlewine 2016) is necessary: movement of and out of an XP must cross a Projection Line
						(PL) (Brody 1998), i.e. the set of all projections of a head. This
					version of antilocality can derive Freezing effects, Huang’s
						(1982)
CED, and their exceptions; and Comp-trace effects and their
					neutralization, extending them to subextraction. However, antilocality on its own cannot derive the extraction-subextraction
					asymmetry in indirect objects. I propose that the Principle of Minimal Compliance (PMC) (Richards 1998) can suspend antilocality if agree between a probe and a goal has happened. The version adopted here
					will allow extraction of the whole XP, but disallow extraction of its specifier due to the lack of an agree relation. Antilocality
					and the PMC combined also make the right predictions in other domains such as the lack of do-support in matrix
					subject questions and A-movement of the subject in declarative clauses, providing evidence that antilocality is a constraint that
					should apply to (at least) both A and A′-movement.
",LINGUISTIC VARIATION
10.1075/lv.19012.qua,Stefano Quaglia,Pattern replication and extraction from spatial PPs in Molise Slavic, ,2021,"
This paper investigates P-stranding under A′-extraction in spatial PPs in Molise Slavic (MSL). After showing that
					P-stranding bijectively correlates with dative case on the Ground argument of P, I argue that the cases of extraction at stake
					instantiate grammatical convergence in the form of “pattern replication” (Matras & Sakel
						2007). A′-extraction is licensed by the presence of borrowed additional functional material valuing and interpreting
					K(ase). The richer structure allows for KP to move out of the PP Phase without violating Anti-Locality. Both Italian and MSL
					secondary Ps displaying P-stranding are characterized as instantiating one of two possible structural options for P-stranding. The
					alternative structure is argued to be instantiated in Germanic, consistently with existing proposals (Abels 2012). The choice between the two options, as well as the productivity of the selected option in a
					given grammatical system, is a matter of (micro-)variation in the availability of functional vocabulary.
",LINGUISTIC VARIATION
10.1075/lv.00039.int,"Víctor Acedo-Matellán, Theresa Biberauer, Jaume Mateu, Anna Pineda",Into adpositions,New formal perspectives on the structure of the PP and its variation,2021, ,LINGUISTIC VARIATION
10.1075/lv.00032.sve,Peter Svenonius,Prepositions with CP and their implications for extended projections, ,2020,"
In some limited cases, English allows a particular preposition to combine with a certain kind of subordinate clause, as
          exemplified by in that in “I take the proposal seriously, in that I loathe it”. In contrast, Norwegian systematically
          allows prepositions to combine with subordinate clauses (as in Det resulterte i at vi vant, literally “It resulted in that
          we won”). I argue that the English case should be handled as the subcategorization for a certain complement class by a particular lexical
          entry, while the Norwegian case indicates that the extended projection of clauses can continue up to the preposition. This highlights an
          important difference between lexical selection and extended projection, revealing a hitherto underappreciated source of parametric
          variation, and sheds light on several properties of extended projections as well as of prepositions. Specifically, the extended projections
          of N and V may “converge” at P, challenging the notion of extended projection as being confined to a single lexical category.
",LINGUISTIC VARIATION
10.1075/lv.00033.pre,Erin Pretorius,Afrikaans circumpositions,(Mis-)matches at the syntax-interface,2020,"
Circumpositions in Afrikaans present several puzzles: (i) they always encode spatial paths, but spatial paths can
                    also be encoded by prepositional phrases; (ii) they can be doubling or non-doubling, and (iii) they exhibit disharmonic word order
                    of the kind that appears to violate the Final-over-Final Condition (FOFC). In this paper, I argue that circumpositions offer
                    support for the existence of a directional head [dir] in the fine structure of the Afrikaans verbal
                        domain, and that this head is lexicalised by adpositional material in circumpositional expressions. I show that
                    Afrikaans grammar distinguishes Route-paths from Goal-/Source-paths, and argue that whereas [dir] selects a
                        [pathP] in the structure underlying Goal-/Source-paths (circumpositional expressions), Route-paths (prepositional
                    expressions) are ‘bare’ [pathP] structures. I argue that since circumpositions identify structural components in
                    different Spellout Domains, double-insertion of adposition-like material is required to exhaustively lexicalise the structure, and
                    the disharmonic word order is understood as a direct consequence of the fact that [dir] is located in Afrikaans’
                    head-final verbal, which addresses the concern arising around FOFC. Finally, given that the adpositions in circumpositional
                    expressions are shown to occupy structural positions that are distinct from that of de-adpositional V-particles, the paper also
                    addresses the structural relation between circumpositions and particle verbs in which adposition-like material lexicalises a
                    resultative [res] node in the verbal domain.
",LINGUISTIC VARIATION
10.1075/lv.00034.rea,Cristina Real-Puigdollers,"A minimalist approach to the syntax of p
",A Romance perspective,2020,"
This paper proposes a minimalist analysis of locative prepositions in Central Catalan, from a comparative perspective.
          Specifically, I claim that certain semantic and syntactic properties that are usually considered part of the field of the extended
          projection of PPs in cartographic approaches (categories like Place, Degree, K, and AxPart, for example) are in fact properties of the DP in
          the complement of a preposition. This claim takes the view that adpositions are a functional projection that relates two DPs, the Figure and
          the Ground, and not a lexical head that projects a functional domain on its own, as Ns, Vs or As (cf. den Dikken 2010; Koopman 2000). The final part of the paper proposes a model to account
          for the variation that locative prepositions exhibit across Romance languages following the Conjecture of Borer (1984) (known as the Borer-Chomsky Conjecture since Baker 2008).
          More precisely, I propose a model in which microparametric differences among Romance simple locative prepositions depend on the particular
          composition of features in p.
",LINGUISTIC VARIATION
10.1075/lv.00035.fra,"Ludovico Franco, M. Rita Manzini, Leonardo M. Savoia",Locative Ps as general relators,"Location, direction, DOM in Romance",2020,"
Based mostly on the Romance languages, we provide evidence for the conclusion that oblique adpositions involved in
                    the encoding of location and direction do not contribute a specific, fixed spatial meaning. On the contrary, they are general
                    relators, relating a complement to an event by establishing an inclusion relation between them. Locatives are specializations of
                    the basic relational inclusion content. State-in, motion-to and motion-from interpretations depend on the interaction of these
                    simple relators with the structure of the event. Specifically, the relator may attach at the level of the Result phrase (goal,
                    motion-to) or at the level of the Cause layer (source, motion-from). Furthermore, the Romance languages provide evidence for
                    differential encoding of non-animate vs. animate location, which we refer to as locative DOM, presenting and
                    discussing various instances of it.
",LINGUISTIC VARIATION
10.1075/lv.00036.mat,Ora Matushansky,Intersecting location and possession, ,2020,"
The focus of this paper is the possessive relation arising in several configurations between the complement of a locative
          preposition (u ‘at/by’ and k(o) ‘towards’ in Russian, bij ‘by’ in Dutch and
            la ‘to/at’ in Romanian, henceforth, u-preposition, heading a u-PP) and another NP in
          the same clause. I will show that u-PPs can introduce a number of distinct possessive relations in function of the
          syntactic context and that languages differ subtly in the matter of which such relations are available in which contexts. I will attribute
          this variation to the different semantic domains of these possessive PPs (locus-modifiers as opposed to event-modifiers) arising from the
          lexical specification of the possessive relators lexicalized by these prepositions.
",LINGUISTIC VARIATION
10.1075/lv.00037.gib,Elisabeth Gibert-Sotelo,On the encoding of negation by Source prefixes and the satellite-/verb-framed distinction,Evidence from Latin and Spanish,2020,"
This paper deals with Talmy’s (2000) typological distinction between
          satellite- and verb-framed systems by comparing the expression of negative meaning through Source prefixes in Latin and Spanish complex
          verbs. In particular, the claim is made that the different scope relations established between the Source prefixes and the verb root in each
          language are the reflection of their different typological nature. The core proposal is that Latin Source prefixes lexicalize a Path head
          that defines a phase, whereas the Path head lexicalized by the Spanish Source prefix is not phase-defining. This has consequences on the
          timing of Spell-Out as well as on the position in which roots are merged, which naturally accounts for the distinct lexicalization patterns
          shown by these prefixed constructions in both languages. The negative meaning of Source prefixes, in turn, is derived from the context in
          which they are embedded.
",LINGUISTIC VARIATION
10.1075/lv.00038.ozt,"Balkız Öztürk, Ömer Eren",Pazar Laz as a weak verb-framed language, ,2020,"
Pazar Laz (pl) has a rich set of spatial prefixes, which encode path information as separate morphemes. However, unlike satellite-framed languages, pl spatial prefixes are incompatible with manner of motion verbs, which do not inherently encode path information, but they can only be used with directed motion verbs where the path information is available in the lexical semantics of the verb. Given this pattern, complementing Acedo-Matellán (2016)’s classification of weak vs. strong satellite-framed languages, we argue that verb-framed languages are also of two types. While languages like Romance are strong verb-framed languages encoding Path directly in the verb root, pl constitutes an example of a weak verb-framed language, where Path is affixal and forms a single word with the verb. We argue that spatial prefixes spell out the underassociated Path projection of the verb à la Ramchand (2008b).
",LINGUISTIC VARIATION
 ,,Dedication, , , ,LINGUISTIC VARIATION
10.1075/lv.00015.lim,"Suzi Lima, Susan Rothstein",A typology of the mass/count distinction in Brazil and its relevance for mass/count theories, ,2020,"
While much work has been done on the description of the mass/count distinction in different geographical areas, Brazilian Indigenous languages are still highly underrepresented in the field. This paper presents the results of a project that involved researchers describing the mass/count distinction in 15 Brazilian Indigenous languages, based on a questionnaire we prepared in 2016 in order to explore the distribution of bare nouns, plurals, numerals, and quantifiers (see Appendix). Three main observations will be drawn. First, number marking and countability are independent. Second, counting is not restricted to natural atoms. Third, since there seems to be no systematic symmetry in the distribution of plurals, numerals, and quantifiers, we argue that the standard diagnostics for countable vs. non-countable nouns are highly language-specific.
",LINGUISTIC VARIATION
10.1075/lv.00016.sto,Luciana R. Storto,Count and mass nouns in Dâw, ,2020,"
The goals of this paper are to describe the grammatical properties of nouns and number in Dâw (Naduhup family, Northwestern Amazonia, Brazil) using Lima & Rothstein’s questionnaire (this volume) on mass versus count nouns and to contribute to the typological and semantic literature on nouns and number. Our results show that Dâw is a bare argument language, with no plural on nouns or numeral classifiers, in which all nouns can be counted directly without the need of a measure or container phrase. A difference between notionally count and mass nouns can be found only when different sets of quantifiers are combined with mass and count nouns and in comparatives.
",LINGUISTIC VARIATION
10.1075/lv.00017.god,"Gustavo Godoy, Walter Alves",Notes on plurality and the count/mass distinction in Guató, ,2020,"
Guató is an isolate, nearly extinct indigenous language. Only two elders, VS and EF, remember it. They both live in the Pantanal (State of Mato Grosso do Sul, Brazil). Despite the decline in the number of speakers due to farmers’ invading land that once belonged to Indigenous people, new research has been conducted, resulting in a description of some aspects of its grammar. This paper shows the distribution of plural affixes, as used by EF. In Guató, all nouns combine directly with numerals, whether these nouns are mass or count. The language grammaticalizes the mass-count distinction only in the interpretation of quantifiers.
",LINGUISTIC VARIATION
10.1075/lv.00018.san,Filomena Sandalo,"Individuation, counting, and measuring in the grammar of Kadiwéu", ,2020,"
This work approaches some grammatical differences in the linguistic expression of counting, measuring, aggregating, and quantity comparison and partition in Kadiwéu, a classifier language spoken in Brazil. This paper brings evidence via the grammar of comparison and partition that the counting/measuring distinction is a genuine grammatical distinction. This work also shows that aggregate nouns in Kadiwéu pattern grammatically neither with substance nouns nor with naturally atomic object nouns. That is, Kadiwéu has a specific grammatical expression for groups as atoms.
",LINGUISTIC VARIATION
10.1075/lv.00019.fra,Bruna Franchetto,"Count, mass, number and numerals in Kuikuro (Upper Xingu Carib)", ,2020,"
This article deals with the multiple reflexes of the mass versus count distinction in Kuikuro, a dialect of a southern-branch language of the Carib family, spoken by 600 people at the edge of Brazilian Southern Amazonia. It updates and deepens previous research results presented in Franchetto et al. (2013). It is organized into four sections. After a summary profile of Kuikuro morphosyntax, the second and third sections present, respectively, the resources available for pluralization, with their sensitivity to the animate/inanimate and count/mass distinctions, and the system of cardinal numerals. Both sections are a required introduction to the rest of the article. The relevance of the distinction, which we consider primordial, between count nouns and mass nouns is the first-order question of the fourth section. Here we show not only Kuikuro’s basic sensitivity to this distinction, but also the specific contributions that this language brings to cross-linguistic comparisons and to the revision of possible cross-linguistic generalizations.
",LINGUISTIC VARIATION
10.1075/lv.00020.nev,"Andrew Nevins, Mário Coelho da Silva","Maxakalí has suppletion, numerals and associatives but no plurals", ,2020,"
The Maxakalí language lacks additive plurals (akin to dog-s) on nouns, but has associative plurals, and a large set of suppletive verbs that indicate whether the internal argument is plural or not. Although it has no plural marking, Maxakalí distinguishes between count nouns and mass nouns. The former can be followed by numerals, while the latter must be coerced or occur with container words. Only count nouns can be distinguished between singular and plural with verbal number. Mass nouns always require plural verbal number. Count nouns are compatible with words like ‘many’ indicating cardinality, while mass nouns are compatible with words like ‘big’ for volume. Granulated substances have variable behavior, depending on whether treated as a whole or as several individuated items. Numerals in Maxakalí show an unusual pattern, whereby 1–3 are treated as unaccusative verbs, and 4 and up, being loanwords, are treated as unergative verbs.
",LINGUISTIC VARIATION
10.1075/lv.00021.tho,Guillaume Thomas,Countability in Mbyá, ,2020,"
This paper investigates the distribution of nouns in Mbyá (Tupi-Guarani), with respect to plural marking, numerals and quantifiers. The study reveals the existence of a robust grammatical distinction between a class of count nouns, which consists mostly of individual denoting nouns, and a class of mass nouns, which consists mostly of substance denoting nouns.
",LINGUISTIC VARIATION
10.1075/lv.00022.sal,Andrés Pablo Salanova,Counting and measuring in Mẽbengokre and the count/mass distinction, ,2020,"
Though there is no formal differentiation between count and mass nouns in Mẽbengokre, a Jê language from central
                    Brazil, a contrast can be seen in the coercion that numerals and some quantifiers induce in mass nouns. This coercion, that leads
                    to both a type of and unit of readings, is the only type of discretization of mass concepts that
                    can be done within a noun phrase in the language, as measure classifiers do not exist, something that we argue for in some
                    detail.
",LINGUISTIC VARIATION
10.1075/lv.00023.bar,Bernat Bardagil,Number morphology in Panará, ,2020,"
In this paper I present a description of number in Panará, with singular, dual and plural, and discuss the mass-count properties of Panará nouns. I also describe an until now unattested instance of omnivorous dual in Panará, where one dual morpheme can map to one or more arguments.
",LINGUISTIC VARIATION
10.1075/lv.00024.bom,"Anari Bomfim, Suzi Lima",Count and mass nouns in Patxohã, ,2020,"
This paper describes the count/mass distinction in Patxohã, a revitalized language spoken in Bahia and Minas
                    Gerais, Brazil. We observe that only count nouns can be directly combined with numerals and that only count nouns can co-occur
                    with plural determiners. Furthermore, only count nouns can be combined with size adjectives. As for quantifiers, we observe that
                    at least one quantifier in the language (nitxi) can be combined with count and mass nouns, but trigger different
                    interpretations depending on the noun it is combined with. We also discuss the use of container phrases in counting and measuring
                    contexts.
",LINGUISTIC VARIATION
10.1075/lv.00025.gal,"Ana Vilacy Galucio, Carla Nascimento Costa",Count-mass distinction in Sakurabiat, ,2020,"
Acknowledging the fact that not all languages seem to distinguish grammatically between mass nouns and count
                    nouns, this paper aims to provide information on whether or not the count-mass distinction is expressed in the Sakurabiat
                    language, which belongs to the Tuparic branch of the Tupian linguistic family. The paper presents a brief survey of the
                    grammatical properties associated with notional mass and notional count nouns in Sakurabiat. The properties of constructions with
                    nouns and numerals are described and compared to constructions with pluralized nouns and numerals. The question of individual
                    versus event quantification with numerals, and the role played by quantifiers and comparatives are also analyzed. The Sakurabiat
                    data contributes to the investigation about the expression (or non-expression) of a count-mass distinction in underrepresented and
                    understudied languages.
",LINGUISTIC VARIATION
10.1075/lv.00026.cou,Isabella Coutinho Costa,The count/mass distinction in Taurepang, ,2020,"
This paper presents a description of the count/mass distinction in Taurepang, a Cariban language spoken in Brazil and
          Venezuela. The methodology used was based on Lima & Rothstein’s questionnaire (this volume). We show that Taurepang is a bare noun
          language and that mass and count nouns can be pluralized. Despite nominal quantifiers have the same distribution, they show different
          interpretation with count and mass nouns. As the data also shows that numerals distinguish count and mass nouns and that container phrases
          trigger the count/measure interpretation, we assume here that the denotation of mass nouns in Taurepang cannot be count.
",LINGUISTIC VARIATION
10.1075/lv.00027.cha,"Pilar Chamorro, Fábio Bonfim Duarte",On the semantic properties of mass and count nouns in Guajajára (Tenetehára), ,2020,"
In this paper we show that Guajajára has grammaticalized the distinction between mass and count nouns, but that the coding
          of this distinction is different from the systems of coding in classifier languages, number-marking languages, and number-neutral languages
            (Chierchia 1998a, 1998b, 2010; Wilhelm 2008). As a result, we conclude that Guajajára presents a
          challenge to the tripartite classification of languages proposed in Chierchia’s work, since Guajajára number marking is non-inflectional and
          optional when plural is already expressed by other quantificational expressions. Furthermore, in Guajajára notional mass nouns can pluralize
          and directly combine with numerals without the mediation of container or measure constructions in contexts where conventional and
          non-conventional container and units of measurement are implied. This last observation suggests that coercion is not a mechanism that
          operates in this language.
",LINGUISTIC VARIATION
10.1075/lv.00028.san,"Luciana Sanchez-Mendes, Ana Paula Quadros Gomes, Aronaldo Julio",The count-mass distinction in Terena, ,2020,"
This paper examines the count-mass distinction in Terena (Aruák, Brazil) by focusing on plural marking availability, numeral and quantifier distribution and cardinal versus volume interpretation in quantity judgment tests. The data collected from the initial research of these features in Terena reveals the relevancy of the count-mass distinction in the language with some signature properties: (i) only count nouns can be directly combined with numerals; (ii) only count nouns can be used with the quantifier êno with the interpretarion of many individuals rather than a large quantity; and finally, (iii) only count nouns can express cardinality of individuals in a comparative sentence such as John has more N than Peter. Plural morpheme distribution is unsuitable for distinguishing count from mass nouns (such as in English) since mass nouns can be pluralized in Terena, provided noun denotations have individuals to allow for number rather than volume quantity interpretation.
",LINGUISTIC VARIATION
10.1075/lv.00029.gue,"Helena Guerra Vicente, Luciana Sanchez-Mendes, Roberta Pires De Oliveira, Marcus Vinicius Lunguinho, Wendy Mary Leandro","The nominal system in Wapishana (Aruák), preliminary results", ,2020,"
The aim of this paper is to provide a preliminary investigation into the nominal system of Wapishana, focusing on the count vs. mass distinction, which is grammatically encoded in this language. Evidence for this distinction can be identified in the constraints imposed by the presence of numerals, number marking, and quantifiers. Nouns such as wyn ‘water’ do not combine with numerals, whereas other words such as baydkury ‘jaguar’ do. The suffixation of the morpheme -nau/-nhau to express plurality seems to be optional and may even be blocked by the presence of numerals. The language exhibits specialized quantifiers for count, liquid, and non-liquid mass nouns.
",LINGUISTIC VARIATION
10.1075/lv.00030.cou,Isabella Coutinho Costa,The count/mass distinction in Ye’kwana, ,2020,"
This paper presents a description of the count/mass distinction in Ye’kwana, a Cariban language spoken in Brazil and Venezuela. The methodology used was based on Lima & Rothstein’s questionnaire this volume). The data shows that Ye’kwana is a bare noun language and that mass and count nouns can be pluralized. However, numerals need a container phrase in order to be directly combined with mass nouns. Nominal quantifiers wanna and ooje can be directly combined with count and mass nouns, but they show different interpretations.
",LINGUISTIC VARIATION
10.1075/lv.00013.edi,,Introduction,Variation in phonology,2020, ,LINGUISTIC VARIATION
