doi,author,title,year,abstract,journal
 ,Kristian Novak,"

				Zrinjka Glovacki-Bernardi: Kad student zatrudni... Rasprava o rodnoj perspektivi u jeziku			
", ,Prikaz knjige,SUVREMENA LINGVISTIKA
 ,"Ida Raffaelli, Riječ glavne urednice, Puni tekst (Hrvatski) Str. III - IV (PDF)","

				Riječ glavne urednice			
", ,"
                Week                90
",SUVREMENA LINGVISTIKA
 ,"Samir Bajrić, Vlatko Broz, Tayo Lamidi, Barbara Štebih, Maya Khemlani David, Caesar Dealwis, Lucija Šimičić, Aleksandra Ščukanec, Kristian Novak, Goran Pavelić, Ana Mikić","


						Glagol faire u suvremenom francuskom: sintaksa i semantika					

", ,"

 
			Opširnije:			Dijakronijska istraživanja lažnih parova		
",SUVREMENA LINGVISTIKA
 ,Ljubica Kordić,"

				Milica Gačić: Riječ do riječi (lingvistička istraživanja odnosa engleskog i hrvatskog jezika na području prava i srodnih disciplina)			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Mario Brdar,"

				Raising cross-linguistic dust: What can contrastive linguistics do for typology?			
", , ,SUVREMENA LINGVISTIKA
 ,"Matea Filko,","

				Ida Raffaelli, O značenju – uvod u semantiku (Matica hrvatska, Zagreb, 2015., 309 str.)			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,"Sanja Seljan , Kristina Vučković , Zdravko Dovedan ","

				Sentende Representation in Context-Sensitive Grammars			
", , ,SUVREMENA LINGVISTIKA
 ,Petar Vuković,"

				Vijeće za normu i teorija upravljanja jezikom			
", , ,SUVREMENA LINGVISTIKA
 ,Florin-Mihai Dat,"

				Metateza i homonimija u biblijskom hebrejskom			
", ,Adresa:Ivana Lučića 310000 ZagrebCroatia,SUVREMENA LINGVISTIKA
 ,"Marija Kraljević , Vesna Deželjin ","

				Kronika			
", ,Kronika,SUVREMENA LINGVISTIKA
 ,Kristian Novak,"

				Velimir Piškorec uz suradnju Sanje Janković: Tomo Maretić na raskrižju  filologije i jezične politike. Zagreb: Udruga zagrebačkih esperantista, 2015.,  116 str.			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Dora Maček,"

				Simbolika i pragmatika standardizacije jezika. Neki primjeri.			
", , ,SUVREMENA LINGVISTIKA
 ,Nada Ivanetić,"

				Diana Stolac, Anastazija Vlastelić, Jezik reklama 			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,"Lidija Šaravanja, Argumentna struktura psiholoških glagola u hrvatskom jeziku, Puni tekst (Hrvatski) Str. 241 - 257 (PDF)","

				Argumentna struktura psiholoških glagola u hrvatskom jeziku			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Kristian Lewis ,"

				Što je to lektor?			
", , ,SUVREMENA LINGVISTIKA
 ,Diana Forker,"

				Varijacija u tvorbi osnove u cezskim jezicima			
", ,tvorba riječi; tvorba osnove; cezski jezici; didojski jezici; dagestanski jezici,SUVREMENA LINGVISTIKA
 ,Branka Tafra,"

				Derivatem i leksem			
", ,Adresa:Ivana Lučića 310000 ZagrebCroatia,SUVREMENA LINGVISTIKA
 ,Barbara Kryžan-Stanojević ,"

				Slavenski jezici u knjigama			
", , ,SUVREMENA LINGVISTIKA
 ,"Daniela Katunar, Daniela Katunar, Jana Willer-Gold, Tena Gnjatović, Ljiljana Šarić, Krešimir Šojat, Matea Srebačić, Vanja Štefanec, Daniela Katunar, Matea Srebačić","


						Deminutivi na djelu: kognitivnolingvistička analiza deminutivnih glagola tvorenih sufiksacijom u hrvatskome					

", ,"Jana Willer-Gold, Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite., Filozofski fakultet u Zagrebu",SUVREMENA LINGVISTIKA
 ,"Mario Brdar , Rita Brdar-Szabo , Željka Fink ","

				Prikazi, ocjene, osvrti			
", , ,SUVREMENA LINGVISTIKA
 ,Zvonimir Novoselec,"

				Izvještaj o radu Zagrebačkoga lingvističkog kruga u ak. godini 2007./2008.			
", ,Adresa:Ivana Lučića 310000 ZagrebCroatia,SUVREMENA LINGVISTIKA
 ,Tanja Gradečak-Erdeljić ,"

				Konstruiranje stvarnosti: glagolski način u svjetlu teorije kognitivne gramatike			
", , ,SUVREMENA LINGVISTIKA
 ,Stjepan Babić,"

				Sufiksalna tvorba uvećanica u hrvatskome književnome jeziku			
", ,Adresa:Ivana Lučića 310000 ZagrebCroatia,SUVREMENA LINGVISTIKA
 ,"Ranko Matasović, Diana Forker, Diana Forker, Vittorio S. Tomelleri, Frederik Kortlandt, Ranko Matasović, Tena Gnjatović, Branka Tafra, Aleksandra Ščukanec, Ljubica Kordić","


						Predgovor					

", ,"

 
			Opširnije:			Varijacija u tvorbi osnove u cezskim jezicima		
",SUVREMENA LINGVISTIKA
 ,"Ivan Ivas , Miranda Levanat-Peričić , Mate Kapović , Vladimir Karabalić , Radovan Lučić , Dubravka Sesar , Elena Stojanova , Mislava Bertoša , Dubravka Sesar , Irena Zovko Dinković , Velimir Piškorec, Slađan Turković , Ivana Jerolimov , Irena Zovko Dinković","


						Strana imena u hrvatskome standardnom izgovoru					

", ,"

 
			Opširnije:			Ergativnost kao arealni fenomen		
",SUVREMENA LINGVISTIKA
 ,"Martina Sekulić Sović, Vlasta Erdeljac","

				Leksičko–semantička obrada kod osoba s epilepsijom medijalnog temporalnog režnja			
", ,Adresa:Ivana Lučića 310000 ZagrebCroatia,SUVREMENA LINGVISTIKA
 ,Neda Pintarić,"

				Razvitak neverbalnoga koda			
", , ,SUVREMENA LINGVISTIKA
 ,"Željka Brlobaš , Pavao Tekavčić , Željka Fink , Mislava Bertoša , Milan Mihaljević , Milica Mihaljević , Lina Pliško ","

				Obznane			
", ,Milan Mihaljević ,SUVREMENA LINGVISTIKA
 ,Vladimir Karabalić ,"

				Hrvatski imenski predikatni proširak i njemački ekvivalenti			
", , ,SUVREMENA LINGVISTIKA
 ,"Marija Turk, Maja Opašić","

				Jezično posuđivanje i purizam u hrvatskome jeziku			
", ,"Hrvatski je jezik sukladno svojim snagama živio u duhovnim kretanjima koja su ga okruživala i živo se uključivao u europske kulturne i civilizacijske tokove. U prilogu se daje sintetski prikaz hrvatskih jezičnih dodira s drugim kulturnim, civilizacijskim i jezičnim krugovima. Iz tih je dodira izraslo evidentno (posuđenice) i latentno (prevedenice) posuđivanje i neprekidno zamjetan jezični purizam. Puristička se djelatnost osobito očituje u procesu standardizacije jezika, stoga se umjereni purizam smatra univerzalnom značajkom standardnih jezika. Hrvatski je purizam u suglasju sa sličnim nastojanjima u europskim jezicima: bavi se istim pitanjima, ima jednake kriterije i neprekidno traje s različitim intenzitetom. U jezicima s izrazitijom purističkom tendencijom izravno jezič no leksičko posuđivanje uzmiče pred kalkiranjem. Hrvatski je jezik oblikovao aktivni odnos prema stranojezičnim činjenicama. To je skrb za jezičnu pravilnost koja ne prihvaća svaku stranu riječ pasivno, proizvoljno i bez prosudbe, ali je prihvaća ako mu je potrebna i pri tom je usklađuje sa svojim jezičnim zakonitostima. Hrvatski se purizam očituje ne samo u otporu prema pasivnom preuzimanju stranih riječi, već prije svega u njegovu poticajnu djelovanju da se pokrenu vlastite mogućnosti u stvaranju izraza za izvanjezične inovacije: on je nuždan uvjet za stvaranje prevedenica u najširem smislu toga naziva. Puristička djelatnost koja za cilj odabire prevedenice kao prikladnija jezična rješenja od posuđenica također je podložna kritičkom preispitivanju. U hrvatskome je jeziku u normativnoj ocjeni posuđenica i prevedenica bilo zastranjivanja, i to u rasponu od potpunog proskribiranja ili jednih ili drugih, do nekritičnog prihvaćanja i jednih i drugih. Glavnina standardološke prakse priklanja se umjerenom stavu. Kao što je cjelokupna povijest hrvatskoga standardnoga jezika obilježena nastojanjem da se u prihvaćanju stranojezičnih činjenica poštuje načelo reda i funkcionalnosti, tako su i danas aktualna normativna pitanja posuđenica i prevedenica. Imajući u vidu leksičko raslojavanje i polifunkcionalni karakter standardnoga jezika u procjeni posuđenica i prevedenica, potreban je diferenciran pristup: jedan sinonimski parnjak u neutralnoj, drugi u obilježenoj ulozi. Pristupa li se jezičnim činjenicama funkcionalno, u prvi će plan doći pozitivne strane purizma i neće biti mjesta negativnim konotacijama koje se obično stavljaju u prvi plan pa se jezični purizam smatra nepoželjnom pojavom. Purizam kao opiranje neosjetljivosti za stilističko raslojavanje sinonim je za jezičnu kulturu. Zahvaljujući njemu, hrvatski se jezik leksički obogatio, posuđenice prilagodio fonološki, morfološki i semantički, a u prevedenicama očuvao izraznu samosvojnost i uključio u širu jezičnu konvergenciju.",SUVREMENA LINGVISTIKA
 ,Dubravko Kučanda,"

				Is dative Subject a Viable Syntactic Notion?			
", , ,SUVREMENA LINGVISTIKA
 ,"Siniša Habijanec , Damir Kalogjera , Mate Kapović , Marko Kovačić , Milica Mihaljević , Nives Opačić , Ivana Simeon , Branka Tafra , Ivana Vidović Bolt , Nina Tuđman Vuković","

				Izlaganja sa Zagrebačkoga lingvističkoga kruga			
", ,Milica Mihaljević ,SUVREMENA LINGVISTIKA
 ,"Mateusz-Milan Stanojević,  Grygiel, Marcin and Laura A. Janda. eds. 2011. Slavic Linguistics in a Cognitive Framework. Frankfurt am Main, Berlin, Bern, Bruxelles, New York, Oxford and Wien: Peter Lang, Full text (English) (PDF)","

				Grygiel, Marcin and Laura A. Janda. eds. 2011. Slavic Linguistics in a Cognitive Framework. Frankfurt am Main, Berlin, Bern, Bruxelles, New York, Oxford and Wien: Peter Lang.			
", ,"
                Month                378
",SUVREMENA LINGVISTIKA
 ,Irena Kolbas ,"

				Kronika			
", , ,SUVREMENA LINGVISTIKA
 ,Branka Barčot,"

				Wörterbuch deutscher sprichwörtlicher und phraseologischer Vergleiche, Teil 1			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,"Milica Bukarica, Dragica Bukovčan, Milica Gačić, Zjena Čulić, Ute Karlavaris-Bremer, Mira Mikačić , Anuška Štambuk, Sanja Seljan, Mario Brdar , Rita Brdar-Szabo , Željka Fink , Mirko Peti , Siniša Habijanec , Irena Kolbas ","


						Rod imenica koje znače profesiju u ruskom i hrvatskom jeziku					

", ,"Milica Gačić; Visoka policijska škola, Zagreb",SUVREMENA LINGVISTIKA
 ,"Mateusz-Milan Stanojević, Modeling epistemic distance: the Croatian l–participle, Full text (English) Page 219 - 239 (PDF)","

				Modeliranje epistemičke udaljenosti: glagolski pridjev radni u hrvatskome			
", ,Adresa:Ivana Lučića 310000 ZagrebCroatia,SUVREMENA LINGVISTIKA
 ,Kim Ebensgaard Jensen,"

				Too female to be ruthless i too pregnant to argue: rješavanje značenjskog konflikta u konstrukciji [too ADJ to V]			
", ,"
nepravilnost između konstrukcije i leksema, gradba značenja, engleski jezik, konstrukcija stupnjevitih pridjeva, rješavanje značenjskog konflikta
",SUVREMENA LINGVISTIKA
 ,Tamara Polić,"

				2. ZADARSKI LINGVISTIČKI FORUM »Metodologija istraživanja i pisanje znanstvenih radova u lingvistici« Zadar, 23. travnja 2015., Sveučilište u Zadru – Odjel za lingvistiku			
", ,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,Geert Booij,"

				Jezična uporaba i ustroj gramatike: perspektiva konstrukcijske morfologije			
",2014,"
Ovaj rad potiče uporabno utemeljen opis morfološkog znanja i njegova mjesta u ustrojugramatike. I-jezik, apstraktna jezična kompetencija, i E-jezik, tj. stvarna uporaba jezika stojeu dijaloškom odnosu. Morfologija mora biti uporabno utemeljena kako bi dobila uvid u znanjei stvaranje složenih riječi. Konstrukcijska morfologija teorija je o mjestu morfologije u ustrojugramatike koja pretpostavlja hijerarhijski leksikon s različitim stupnjevima shematičnosti kojivjerno odražavaju stvarnu jezičnu uporabu na području tvorbe riječi. Budući da postoje iproduktivne frazalne leksičke konstrukcije i da tvorba riječi može biti temeljena na paradigmatskimodnosima s takvim frazalnim leksičkim jedinicama, ne postoji stroga podjela između leksikona igramatike iako se mora održati formalna podjela između sintaktičkih i morfoloških konstrukata.U radu se izlažu argumenti za sheme drugog reda. One čine višedimenzionalnu mrežuodnosa između jezičnih te morfoloških i sintaktičkih konstrukcijskih shema. Pokazuje se kakomodel konstrukcijske morfologije omogućava integraciju spoznaja o leksičkom znanju u različitimpotpodručjima lingvistike kao što su usvajanje jezika, jezična promjena i jezično procesiranje.
 
Ključne riječi
 

jezična kompetencija, jezična uporaba, leksičko znanje, konstrukcijska morfologija, konstrukcijska gramatika

",SUVREMENA LINGVISTIKA
 ,Diana Forker,"

				Variation in stem formation in Tsezic languages			
", ,word formation; stem formation; Tsezic languages; Didoian lanugages; Dagestanian languages,SUVREMENA LINGVISTIKA
 ,,"

				Uređivačka koncepcija			
", ,Suvremena lingvistika izlazi dva puta godišnje.,SUVREMENA LINGVISTIKA
 ,Krešimir Mićanović ,"

				Posvojnost			
", , ,SUVREMENA LINGVISTIKA
 ,Krešimir Šojat,"

				Morfosintaktički razredi dopuna u Hrvatskom WordNetu			
", ,Adresa:Ivana Lučića 310000 ZagrebCroatia,SUVREMENA LINGVISTIKA
 ,"Sean M. Witty, Charles J. Pindziak, Framing Korean Complex–Coda Resolution with Optimality Theory, Full text (English) (PDF)","

				Složena koda u korejskome u okviru teorije optimalnosti			
", , ,SUVREMENA LINGVISTIKA
 ,Irena Kolbas,"

				Načela izrade jezika za predmetno označivanje			
", , ,SUVREMENA LINGVISTIKA
 ,David Mandić ,"

				Treća palatalizacija velara			
", , ,SUVREMENA LINGVISTIKA
 ,Željka Brlobaš ,"

				Teorijska promišljanja o vrstama riječi			
", , ,SUVREMENA LINGVISTIKA
 ,Florin-Mihai Dat,"

				O analogiji i teoriji etimona u hebrejskome biblijskom leksiku			
", ,"mimophonie, onomatopées, iconicité, lexique, théorie des matrices et des étymons, langue hébraïque de la Bible",SUVREMENA LINGVISTIKA
10.22210/suvlin.2021.092.07,Patrizia Sorianello,"

				Doprinos određenih akustičkih mjera vokala cjelokupnoj govornoj razumljivosti			
",2021,"Primarni je cilj ovog istraživanja da provjerimo je li vokalski prostor Talijana s poremećajima izgovora
različit od osoba tipičnoga govornog razvoja. Nekoliko akustičkih mjera ispitanih na vokalima, kao što
su VSA–3, FCR–3, VAI–3 F1–Ratio i F2–Ratio, primijenjeno je na trima različitima eksperimentalnim
skupinama: 1) osobama s Downovim sindromom, 2) govornicima s teškim oštećenjem sluha i 3) čujućim
osobama koje nemaju nikakve kromosomske poremećaje. Rezultati su pokazali da ispitanici s oštećenjima
imaju sužen vokalski prostor, koji se u usporedbi s govornicima tipičnoga govornoga razvoja ogleda u
suženome rasponu F1 i F2, velikom preklapanju vokala te niskoj razini razumljivosti govora. Ispitanici s
izgovornim poremećajima razlikovali su se u svim mjerama od kontrolne skupine ispitanika. Nasuprot
tome, osobe s Downovim sindromom nisu se u FCR–3 i F1–Ratio mjerama razlikovale od gluhih osoba.",SUVREMENA LINGVISTIKA
 ,"Dubravko Kučanda , Gabrijela Buljan ","

				A Contrastive View on Non–Canonical Subjects: Prototype Effects, Semantic Roles and Metonymy			
", ,"The mapping between primary grammatical relations (subject, direct object, indirect object) and semantic roles is largely discussed in terms of which semantic role can be mapped onto which grammatical relation (or vice versa) as if semantic roles imposed absolute constraints in the sense that a language systematically excludes the mapping between some grammatical relations and semantic roles (semantic functions) beyond a cut off point on the Semantic Function Hierarchy. Any deviation from the semantic prototype of the subject has as a consequence non–canonical morphosyntactic properties of subjects (e. g. oblique case marking, inability to undergo some syntactic processes and lack of properties which are not peculiar to subject qua grammatical relation), that is, such semantically non–prototypical subjects do not exhibit the full array of subject–like properties. This paper argues that semantic roles do not impose absolute constraints on the mapping between grammatical relations and semantic roles. The mapping between a semantic role low on the Semantic Function Hierarchy and the grammatical relation subject is possible in cases of some referential metonymies, i. e. only some uses or meanings of a semantic role allow such mapping.Our aim in this paper is not to provide a detailed contrastive analysis of non–canonically marked subjects in any two languages. We want to point to some aspects that have been largely neglected in contrastive analyses of non–nominative subjects.",SUVREMENA LINGVISTIKA
 ,"Mislava Bertoša , Ivana Simeon","

				Rad Zagrebačkoga lingvističkog kruga 2003/2004			
", ,Adresa:Ivana Lučića 310000 ZagrebCroatia,SUVREMENA LINGVISTIKA
 ,Virna Karlić,"

				Ray Jackendoff: Praktični vodič kroz mišljenje i značenje, Institut za hrvatski  jezik i jezikoslovlje, Zagreb, 2016. (prevela i priredila Anita Peti–Stantić) 			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Željka Fink Arsovski,"

				Anatolij Ivčenko, Sonja Wölke: Hornjoserbski frazeologiski slownik			
", , ,SUVREMENA LINGVISTIKA
 ,Lelija Sočanac ,"

				Talijanizmi u hrvatskome jeziku			
", , ,SUVREMENA LINGVISTIKA
 ,Milan Mihaljević,"

				Ranko Matasović: Slavic Nominal Word–Formation: Proto–Indo- European Origins and Historical Development			
",2014,"
                Today                21
",SUVREMENA LINGVISTIKA
 ,Petar Vuković ,"

				Rečenice s blokiranom pozicijom subjekta u hrvatskome i u češkome			
", , ,SUVREMENA LINGVISTIKA
 ,"Maja Anđel, Sabine Klampfer, Marianne Kilani-Schoch, Wolfgang U. Dressler, Melita Kovačević","

				Acquisition of verbs in Croatian, French and Austrian German - an outline of a comparative analysis			
", ,"Melita Kovačević; Department of Speech and Language Pathology, Faculty of Special Education and Rehabilitation, Zagreb",SUVREMENA LINGVISTIKA
 ,Ekrem Čaušević,"

				Nominalizacija u turskome jeziku II. (Prilog kontrastivnoj analizi sintakse turskoga i hrvatskog jezika)			
", , ,SUVREMENA LINGVISTIKA
 ,"Vesna Muhvić-Dimanovski , Mate Kapović , August Kovačec , Maja Bratanić , Lucija Miškulin , Anita Skelin Horvat , Gabrijela Buljan","

				Prikazi, ocjene, osvrti			
", ,Lucija Miškulin ,SUVREMENA LINGVISTIKA
 ,Sanja Grahek,"

				Problemi klasifikacije fakultativnih rečeničnih tipova u francuskom jeziku			
", , ,SUVREMENA LINGVISTIKA
10.22210/suvlin.2021.092.02,"Mirna Erk, Silvija Ručević","

				Rano ovladavanje engleskim jezikom: koliko rano je dovoljno rano?			
",2021,"Od ranih 90–tih godina prošlog stoljeća do danas svjedoci smo spuštanja dobne granice za početak
formalnog učenja inog jezika (drugog, stranog, novog) iako noviji pogledi na odnos dobi i inojezičnog
razvoja upućuju na problematična uvjerenja i nepotvrđene dobrobiti ranijeg početka učenja stranih
jezika (Baumert et al. 2020; Singleton i Pfenninger 2018a). Štoviše, u Europskoj se uniji potiče uvođenje
programa učenja stranog jezika djeci mlađoj od 6 godina, na razini ranog i predškolskog odgoja (European
Commission 2011). Međutim, jako se malo zna o procesima, mehanizmima, ishodima i dugoročnim
učincima ranijeg početka učenja stranog jezika, u vrtićkoj dobi. Stoga smo istražili uspjeh djece mlađe
školske dobi (N=147) u ovladavanju engleskim kao stranim jezikom s obzirom na dob na početku učenja i
na dužinu izloženosti organiziranom poučavanju. Ispitanici su učili engleski formalno tijekom tri godine u
redovnoj nastavi, pri čemu je 91 dijete učilo engleski i u vrtiću, prije dolaska u školu. Testiranja su provedena na kraju prvog i trećeg razreda.",SUVREMENA LINGVISTIKA
 ,Goran Pavelić,"

				The Indo-European Languages (Ed. Mate Kapović), Routledge, 2017., Second edition			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Marina Grubišić,"

				Central European Cognitive Linguistics Conference 2008			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
 ,Anita Skelin Horvat ,"

				Exploring the Syntax-Semantics Interface			
", , ,SUVREMENA LINGVISTIKA
 ,"Florin-Mihai Dat, Arijana Krišković, Taoufik Massoussi, Dimka Saavedra, Branka Tafra, Petra Košutar, Gordana Varošanec-Škarić, Gabrijela Kišiček, Nina Tuđman Vuković, Žarko Muljačić, Žarko Muljačić, Kristian Novak","


						Metateza i homonimija u biblijskom hebrejskom					

", ,"

 
			Opširnije:			Semantički prijenosi i kategorije objekata		
",SUVREMENA LINGVISTIKA
 ,Ivana Oraić Rabušić,"

				Podjela konstrukcija sa se u hrvatskom jeziku			
", ,"Ovomu je radu nakana da se izluče konstrukcije sa se koje postoje u hrvatskom jeziku 
i da se svaka od njih zasebno analizira na sintaktičko–semantičkoj razini. Izdvajaju se 
dvije skupine spomenutih konstrukcija: one u kojih je riječ o povratnim glagolima i one 
koje su oblik se dobile sintaktički. Te su dvije skupine nazvane konstrukcije s povratnim 
glagolima i konstrukcije s prijelaznim i neprijelaznim glagolima. Konstrukcije s povratnim 
glagolima sadržavaju povratni glagol, a konstrukcije s prijelaznim i neprijelaznim glagolima 
sadržavaju prijelazni ili neprijelazni glagol koji u konstrukciji dobiva oblik se. Izlučuje se 
nekoliko tipova konstrukcija s povratnim glagolima i konstrukcija s prijelaznim i neprijelaznim glagolima. Promatraju se promjene koje su se dogodile u pojedinoj konstrukciji s 
povratnim glagolom u odnosu na konstrukciju s prijelaznim parnjakom konkretnoga povratnog glagola i promjene u pojedinoj konstrukciji s prijelaznim ili neprijelaznim glagolom 
kojemu je dodan oblik se u odnosu na polaznu konstrukciju. Promjene se tiču gubljenja 
kojega argumenta, mogućnosti sintaktičkoga izražavanja ili neizražavanja toga argumenta, 
promjene sintaktičkoga položaja argumenta i sl. Prema pristupu u ovom radu oblik se nije 
sintaktički argument ni u kojoj konstrukciji.",SUVREMENA LINGVISTIKA
 ,Tomislav Frleta ,"

				Razlika između determinanta i opisnog pridjeva			
", , ,SUVREMENA LINGVISTIKA
 ,Alexandra Soares Rodrigues,"

				Ograničenja pri proširivanju afiksalnih kombinacija: strukturna ograničenja i uvjeti procesiranja			
", , ,SUVREMENA LINGVISTIKA
 ,Ida Raffaelli,"

				In memoriam: Miro Kačić (1946. - 2001.)			
", ,Glavni kontakt:Mislava BertošaEmail: Ova e-mail adresa je zaštićena od spambota. Potrebno je omogućiti JavaScript da je vidite.,SUVREMENA LINGVISTIKA
10.22210/suvlin.2021.092.06,"Francisco José Lería Dulčić, Roxana Nora Acosta Peña, Patricia Ester Sasso Orellana, Daniela Andrea Collao Jofré","

				Preplavljuju li upute predškolsku učionicu? Uporaba uputa naspram zapovijedi u odgoju djece predškolske dob			
",2021,"Upute temeljni su dio jezičnih stilova koje rabe odgajateljice rane i predškolske dobi tijekom mnoštva
interakcija kojima neprestano nastoje da djecu vode u postizanju odgojnog cilja. Međutim, malo je do
sada pozornosti bilo posvećeno proučavanju uporabe i relativne omjere/proporcije izgovorenih direktiva
u njihovom dnevnom govoru. Teorijskom podlogom temeljenom na funkcionalnoj lingvistici, svrha je
ovog istraživanja da se identificira iz velike baze podataka odgajateljičinih izgovorenih naredbi kako bi se
provjerila njihova distribucija i učestalost u odnosu na druge zapovjedi koje su jednako važne za njihov rad
u usporedbi s drugim verbalnim modalitetima koje su jednako važne za njihov pedagoški rad, kao npr.:
naredbe, izreke, povratne informacije, pitanja i dr. Na uzorku od 20 sudionika, prikupljeni su audio–zapisi
tijekom njihovih dnevnih rutina u radu s djecom, te je odabran velik broj rečenica koje su bile svrstane prema
kategoriji direktiva – deset u ovom studiju. Na temelju dobivenih podataka, uočeno je da su najučestalije
zapovjedi i upute, a nakon njih slijede uporabe reformulacije i pjevanje, među drugim direktivama.
Zaključujemo da je odgajateljicama rane i predškolske dobi ključno imati uvid u jezični stil koji najčešće
koriste u svrsi donošenja učinkovitih odluka kako bi se postigao željeni odgojni cilj, i na taj način, podržavao
proces učenja. Kratki osvrt na opseg ovih rezultata je predstavljen uvažavajući buduća istraživanja i njihov
doprinos visokoškolskom obrazovanju odgajateljica rane i predškolske dobi.",SUVREMENA LINGVISTIKA
 ,Aude Grezka,"

				Proučavanje leksika percepcije: stanje i perspektiva			
", , ,SUVREMENA LINGVISTIKA
