doi,author,title,year,abstract,journal
10.1075/jhl.20054.bos,"Sara Pacchiarotti, Koen Bostoen",Erratic velars in West-Coastal Bantu,2022,"
In this article, we present the first quantitative study of what we call multiple unconditioned reflexes (MUR) in
					Bantu, more specifically of Proto-Bantu velar stops *k and *g in the West-Coastal Bantu (WCB) branch of the Bantu language family.
					MUR, also known as “doubles reflexes” in Bantu studies, represent a situation where one and the same proto-sound has two or more
					reflexes in a given language which cannot be accounted for by phonological conditioning and/or lexical borrowing. This diachronic
					irregularity has been explained in Bantu historical linguistics, and Niger-Congo studies more broadly, by reconstructing either an
					additional series of consonants (phonemic merger) or a latent conditioning that went lost (phonemic split). We show that MUR
					should not be explained, but rather taken as an indicator of the same pervasive irregularity of sound change reported in other
					parts of the world that are highly multilingual and lack a neat overlap between distinct languages and communities. Along with
					widespread multilingualism, we assess lexical diffusion, substrate influence, and spread-over-spread events in Bantu language
					history as complementary explanations for the rise of MUR in WCB.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.21019.kha,Geoffrey Khan,The change in the grammatical category of the copula in North-Eastern Neo-Aramaic,2022,"
North-Eastern Neo-Aramaic (NENA), which is a subgroup of dialects of vernacular Neo-Aramaic, exhibits considerable
					internal diversity. In this paper, I describe the diversity that exists in the form of the copula in this subgroup. The paradigms
					of the copula in the various dialects exhibit different degrees of convergence with verbal inflection. There is an areal
					progression in verbalization from the western periphery to the eastern periphery. The incipient verbalization of the copula can be
					correlated with semantic properties of the subject and the clause that would be expected typologically to be most compatible with
					verbal predicates. Close correlations, however, can be identified with the distribution of pronominal and verbal inflections of
					copulas in the languages with which the NENA dialects have been in contact in the region. It is likely, therefore, that the
					realization of the internal potential verbalization of the NENA copula was induced by language contact.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.21020.chi,"Katia Chirkova, Zev Handel",Diachronic developments in fricative  + nasal sequences,2022,"
Through comparison of regular sound correspondences in three closely related Tibeto-Burman (TB) languages, Ersu,
                    Lizu, and Duoxu (collectively “ELD”), informed by external comparison with other TB languages and recent phonetic analyses of the
                    production of voiceless nasals, we reconstruct *fricative-nasal sequences in their common ancestor, Proto-ELD.
In the development of these historic clusters, two pathways of change can be recognized. Their difference lies in
                    the divergent relative phasing of velic and oral gestures in the original fricative-nasal sequences:


(i)

fricative weakening (from a tight cluster): *FN > N̥ > h̃ > x



(ii)

fricative strengthening (from a loose cluster): *F-n > *F-t > t > k or *F‑n > s



The different reflexes observed in Ersu, Lizu, and Duoxu represent different points along these two developmental
                    pathways. These reconstructions and pathways of development have implications for our understanding of both universal (phonetic)
                    and language-specific aspects of change in fricative-nasal sequences. The first pathway makes it possible to explore the process
                    of nasal devoicing beyond voiceless nasals so as to enrich our understanding of nasal devoicing in natural languages. The
                    co-existence of two opposite pathways of change, on the other hand, provides insights into the morphological and syllabic
                    structure of words with contiguous fricative-nasal sequences in ELD languages at different points in time – insights that may be
                    valuable in examining the history of other languages and language families beyond the ELD cluster.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.22016.alv,Angeliki Alvanoudi,The Rise of Discourse Markers,2022, ,JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.21007.gia,Thanasis Giannaris,Perfects in IE Languages and Beyond,2022, ,JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.20027.blu,Robert Blust,"The Neogrammarian hypothesis  and pandemic irregularity
",2022,"
At least three types of sound change (prenasalization of obstruents, lenition of obstruents, conversion of labial
					consonants to the corresponding labiovelars) are widespread in the Austronesian language family as sporadic innovations. What
					marks these off as different from more familiar types of irregularity is their repeated occurrence across hundreds of related
					languages, a phenomenon that can conveniently be called “pandemic irregularity.” All attempts to find an explanation for why
					pandemic irregularities occur in terms of possibly unrecognized affixation, conditioning, borrowing, or unfinished processes, have
					proven futile. In particular, it is stressed that pandemic irregularity in sound change is fundamentally different from “lexical
					diffusion”, and deserves to be recognized in its own right as a process that works against the general application of the
					regularity hypothesis.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.20031.maz,"Giulia Mazzola, Bert Cornillie, Malte Rosemeyer",Asyndetic complementation and referential integration in Spanish,2022,"
This paper examines a distinctive syntactic feature of (pre)classical Spanish: asyndetic complementation (without
					complementizer que ‘that’). While many authors regard this construction as a stylistic variant which eventually
					declined (i.a., Girón 2005), so far no exhaustive morphosyntactic study of the
					phenomenon has been presented, as previous works either have focused on only one predicate (Blas Arroyo & Porcar Miralles 2016, 2018) or do not contain detailed
					quantitative data (Pountain 2015). Using evidence from richly annotated corpus data
					spanning between 1400 and 1799 (GITHE 2015), we adopt the diachronic probabilistic
					grammar framework (Szmrecsanyi 2013) by means of multifactorial statistical models, to
					identify the language-internal probabilistic constraints that regulated the que/Ø alternation, and to explore
					whether their relevance changed diachronically. The results indicate that asyndetic complementation is promoted in the domain of
					manipulation verbs (e.g., requests and commands) and, more generally, by the semantic and syntactic integration of events (Givón
					2001a). Diachronically we observe that some of the effects strengthened over time, suggesting a syntactic specialization process,
					which might have eventually led to the restricted and marked use of the asyndeton in Modern Spanish.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.20061.kra,Dorota Krajewska,The marking of spatial relations on animate nouns in Basque,2022,"
This corpus-based study examines the diachrony of differential place marking in Basque. In spatial cases, animate
					nouns in Basque exhibit heavier morphological forms than inanimate ones, but, under some circumstances, they can also be marked as
					inanimate. The data for the study comprises 66 sixteenth-to-twentieth-century texts (9,791 examples). A generalised linear
					mixed-effects model was fitted to analyse factors influencing the choice of marking. It is shown that animate nouns are sensitive
					to different aspects of the extended Animacy Hierarchy. The strongest effect is that of number (singular nouns prefer animate
					marking), followed by referentiality (pronouns are more prone to take animate forms than other nominals) and definiteness
					(definite nouns show animate marking more often than indefinite ones). The analysis also shows that animate marking became more
					widespread, and that there are dialectal differences. Moreover, more factors were relevant for the alternation in the earliest
					data (number, referentiality, definiteness, person and case) than in the most recent texts, where number is the most
					important.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.20023.yan,Yuko Yanagida,The origin of dative subjects and psych predicate constructions in Japanese,2022,"
There is considerable literature on dative subject or non-canonical subject marking constructions in Japanese, and
					yet they have been studied mainly from a synchronic point of view. This paper investigates the diachronic dimension of
					non-canonical case marking constructions in Japanese. Following Yanagida and Whitman
						(2009), I assume that Old Japanese (700–800 A.D.) displays split active alignment. This paper argues that dative
					subjects arose as a byproduct of a change occurring from active-inactive to accusative alignment. A factor triggering this change
					was the reanalysis of some particular object experiencer predicates as intransitives due to the loss of the vestigial causative
					suffix associated with the predicate. Synchronically, these constructions involve a voice alternation of the type identified as
					the psych causative alternation by Alexiadou and Iordăchioaia (2014): object
					experiencer verbs behave parallel to causative verbs whereas alternating subject experiencer verbs behave parallel to
					anticausative verbs.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.20045.ung,Tobias Ungerer,Nodes and Networks in Diachronic Construction Grammar,2022, ,JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.20058.sme,Isabeau De Smet,Historical Linguistics: A Cognitive Grammar Introduction,2022, ,JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.20024.ver,Jean-Christophe Verstraete,Pathways of initial consonant loss,2021,"
This paper investigates the historical loss of root-initial consonants, using a case study of Middle Paman
					languages of Cape York Peninsula, in northeastern Australia. Systematic loss of initial consonants is a typologically unusual
					phenomenon, mainly found in Australia, that has often been regarded as a starting point for far-reaching changes in root
					structure, phonotactics and even phoneme inventory. So far, the literature has focused mainly on identifying phonetic causes of
					initial loss. This study focuses on the actual processes and pathways of initial loss, which is an equally important part of the
					historical puzzle. Specifically, it shows that there are multiple pathways for initial loss: it can be the result of a gradual
					phonetic process involving intermediate steps like lenition, as is assumed in part of the literature, but it can also be due to
					more abrupt processes involving borrowing and even morphosyntactic alternations. This adds to a more diversified model of how
					initial loss actually proceeds, which together with earlier work on the diversity of phonetic causes of initial loss produces a
					more comprehensive understanding of this typologically and diachronically unusual phenomenon.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.20011.str,James M. Stratton,Old English intensifiers,2021,"
While many studies have employed variationist methods to examine longitudinal changes in the English intensifier
					system, to date, no variationist studies have tackled the intensifier system of Old English. By providing a critical view of this
					system at an earlier stage in the history of the English language, the present study adds to the long tradition of scholarship on
					intensifiers while providing new insight into their diachronic development. Despite its antiquity, several parallels can be drawn
					with the intensifier system at later stages in the language. Both internal and external factors are found to constrain this
					system, with predicative adjectives favoring intensification over attributive adjectives, prose texts having higher
					intensification rates than verse texts, Latin-based texts having higher intensification rates than vernacular texts, and the rate
					of intensification increasing over time. The quantitative analysis of the Old English system also increases the time depth
					necessary for a more detailed reflection on the diachronic recycling, replacement, and renewal of intensifiers. Language contact
					and borrowing are also postulated as driving forces of innovation and replacement in earlier stages of the English language.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.20020.led,Thomas Leddy-Cecere,"Indexicality, semanticity and contact along the now < this time pathway",2021,"
This study presents data from modern Arabic innovations now < this time to investigate the cross-linguistic developmental pathway temporal deictic < [demonstrative [time noun]]. Products of this path (e.g., German heute, Spanish ahora) feature consistently in contrastive approaches to grammaticalization and lexicalization and have been advanced as exclusive examples of both phenomena, without clear resolution. In this investigation, I establish the derivation of now forms in dialectal Arabic from ten distinct [demonstrative [time noun]] source constructions and identify patterns of fusion and coalescence relevant to both grammaticalization and lexicalization analyses. I then demonstrate a correlated progression of indexicalization and desemanticization in these items’ semanto-pragmatic structure that firmly positions them as examples of grammaticalizing, rather than lexicalizing, change, and proceed to develop this account via examination of the cross-dialectal diffusion of now < this time as an abstract, schematized structure. This approach provides additional support for a grammaticalization account of temporal deictic < [demonstrative [time noun]] developments cross-linguistically and elaborates a novel evidentiary stream with implications for the integration of contact linguistics and grammaticalization/lexicalization studies more broadly.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.20002.sei,"Guido Seiler, Thilo Weber",Reichenbach meets underspecification,2022,"
This paper investigates the long-term diachronic development of the perfect and preterite tenses in German and provides a novel analysis by supplementing Reichenbach’s (1947) classical theory of tense by the notion of underspecification. Based on a newly compiled parallel corpus spanning the entire documented history of German, we show that the development in question is cyclic: It starts out with only one tense form (preterite) compatible with both current relevance and narrative past readings in (early) Old High German and, via three intermediate stages, arrives at only one tense form again (perfect) compatible with the same readings in modern Upper German dialects. We propose that in order to capture all attested stages we must allow tenses to be unspecified for R (reference time), with R merely being inferred pragmatically. We then propose that the transitions between the different stages can be explained by the interplay between semantics and pragmatics.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.19041.man,"Julen Manterola, José Ignacio Hualde","Old Basque had */χ/, not /h/",2021,"
The sound change from Latin /f/ to Old Spanish and Gascon /h/ has often been attributed to stratal influence from
					Basque. The motivation would be that Old Basque lacked /f/, and instead had a phoneme /h/, with which bilingual speakers replaced
					it when speaking in Romance. However, this hypothesis presents several difficulties. Most importantly, Navarrese Romance preserves
					Latin /f/, and in Basque itself, /f/ is adapted as /b/ in loanwords from Latin and Romance, not as /h/. Here we will argue that
					Old Basque had neither /f/ nor /h/. Instead, modern Basque /h/ derives from older */χ/. Medieval data will play an important role
					in establishing this. This hypothesis explains a number of morphophonological alternations, as well as some puzzling aspects in
					the treatment of aspiration in Romance borrowings, and it also makes it more difficult to hold to the stratal hypothesis for the
					Romance change /f/ > /h/.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.19010.bir,Ali H. Birahimani,Reviewing the history and development of aspiration in Eastern Balochi,2021,"
This paper examines the history of aspiration in Eastern Balochi and aims to posit the course of its development
					and the extent to which it can be said to be contrastive. It uses primary data obtained by the author directly from various
					locales and compares sets of these data with the secondary data available on Balochi from 19th and early 20th century material. I
					maintain that, historically, voiceless aspiration arose word-initially in Eastern Balochi, in the sounds /p t č k/, and spread
					from there to other positions. In the discussion of aspiration, literature on Balochi has seen the question of influence from the
					neighbouring Indo-Aryan languages as an important problem. In this paper it is argued that equally relevant to the issue are two
					other important historical phenomena: post-vocalic lenition of stops and affricates, and gemination, a widely found but less well
					explored feature of Balochi. Also observed in Eastern Balochi, but less frequently remarked upon, is the breathiness found in
					voiced stops and affricate, a feature hitherto understood to be restricted to a small lexicon borrowed from Indo-Aryan. Focusing
					on a large number of Eastern Balochi varieties rather than seeing it as a unified whole, I attempt to show that contrastive status
					of aspiration appears to be gradually developing in these varieties. Many processes are leading in this direction, such as
					degemination and fortition of fricatives; among these one important diagnostic for the ultimate status of aspiration, I propose,
					is the transposition of glottal fricative.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.19028.ack,Tanja Ackermann,Pre- and postnominal onymic genitives in (Early) New High German,2021,"
This empirical study focuses on the diachrony of adnominal genitives of proper names in (Early) New High German (17th to 19th centuries), e.g., Carls Haus vs. das Haus Carls ‘Carl’s house’. Starting from the observation that word order variation exists within the whole period investigated, the study identifies determining factors for this variation and weights them in a multifactorial model of word order variation and change, the first time this has been done for German. The focus is on formal factors such as syntactic complexity, a factor that increases in importance over the observed time span. The historical data allow not only the investigation of established formal parameters but also the identification of new factors such as the type of inflectional marker (due to genitive allomorphy in older stages of German). In addition to these formal factors, genitive semantics, pragmatic information status and genre are also taken into account. Explanations for the trend towards the postnominal position of complex adnominal genitives as well as the stability of bare name possessors in the prenominal position are discussed.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.19011.opp,Sophia Jana Oppermann,“Non-coordinating UND” in Middle and Early New High German,2021,"
Even though it has been noted quite early that the conjunction UND may also serve as a relative/equative particle
					or even a subjunction in Middle High German and Early New High German, corpus-based empirical studies are lacking so far. Based on new empirical data, I show that
					non-coordinating UND originated in the Upper German dialect area during the 12th century, subsequently spreading to the Central German dialect area and
					reaching the peak of its use in the 14th century. In contrast to recent literature, I argue that the non-coordinating use of the
					conjunction originated from semantically and syntactically ambiguous constructions of the form UND-XP-VFIN. I also propose that
					the earliest instances of the phenomenon are (adverbial) relative constructions and that the temporal and the equative function
					developed via reanalysis of adverbial relative clauses with a temporal/modal head element.
",JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.21012.dah,Eystein Dahl,Introduction to the special thematic section,2021, ,JOURNAL OF HISTORICAL LINGUISTICS
10.1075/jhl.20016.ald,Edith Aldridge,Syntactic conditions on accusative to ergative alignment change in Austronesian languages,2021,"
This paper develops the proposal put forth by Aldridge (2015, 2016) for the emergence of ergative alignment in a first-order subgroup of the Austronesian family. I first provide new evidence for reconstructing Proto-Austronesian (PAn) as accusative rather than ergative. I then propose a significantly revised approach to Aldridge’s proposed reanalysis. On the basis of evidence from Tsou, I propose that the reanalysis took place in biclausal constructions embedded under motion or locative verbs. Since such biclausal constructions are contexts for restructuring, no accusative case is available for an object. This forced objects which needed structural licensing to value nominative case with T. I additionally show that subjects were assigned inherent non-nominative case in PAn when objects needed to enter into Agree with T, as when valuing nominative case. These conditions yielded a new ergative clause type in a daughter of PAn, which Aldridge (2015, 2016) calls “Proto-Ergative Austronesian”. No change took place in clauses lacking an object needing structural licensing. Consequently, subjects in intransitive clauses and transitive clauses with indefinite objects continued to surface with nominative case, yielding the type of ergative alignment prevalent in Formosan and Philippine languages today.
",JOURNAL OF HISTORICAL LINGUISTICS
